Updated at 19:42:44,Price Close,,,,,,,,,,,,
,SPY,IWM,VEA,VWO,IEF.O,LQD,HYG,TIP,VNQ,PSP,WOOD.O,IGF.O,
9/14/2016,213.15,120.6,36.46,36.47,110.94,121.51,85.39,114.79,84.61,54.35,48.669,40.56,
9/15/2016,215.28,122.04,36.78,37.05,110.97,121.59,85.89,114.76,84.93,55,49.1401,40.77,
9/16/2016,213.37,121.86,36.33,36.8,111.09,121.73,85.91,114.95,84.97,53.5,48.877,40.7,
9/19/2016,213.41,122.67,36.57,37.11,110.9,121.69,85.96,114.81,85.74,53.7,49.2701,40.96,
9/20/2016,213.42,122.15,36.73,37.12,111.07,121.85,85.86,114.79,85.61,53.8,49.343,40.98,
9/21/2016,215.82,123.92,37.43,38.02,111.25,122.47,86.57,115.33,86.71,54.4005,49.91,41.68,
9/22/2016,217.18,125.7,37.8,38.19,111.58,122.97,86.86,115.9,88.26,54.65,50.4024,42.01,
9/23/2016,215.99,124.81,37.44,37.69,111.63,122.88,86.76,116.22,88.53,54.2,50.53,41.66,
9/26/2016,214.24,123.23,37.11,37.23,111.95,123.07,86.38,116.27,88.74,53.75,49.899,41.42,
9/27/2016,215.57,123.73,37.29,37.62,112.14,123.37,86.63,116.37,87.8,53.7,49.89,41.42,
9/28/2016,216.64,124.68,37.62,37.99,112.09,123.45,87.21,116.51,88.52,54.1,50.3076,41.83,
9/29/2016,214.68,122.86,37.16,37.36,112.16,123.4,86.88,116.49,87.34,54,49.61,41.37,
9/30/2016,216.3,124.21,37.41,37.63,111.88,123.18,87.26,116.49,86.74,54.25,50.22,41.56,
10/3/2016,215.78,123.82,37.34,37.88,111.47,122.51,86.82,116.38,85.12,54.35,49.758,41.2,
10/4/2016,214.68,123.21,37.23,37.5,110.96,121.94,86.67,115.81,83.96,54.15,49.03,40.58,
10/5/2016,215.63,123.95,37.43,38.07,110.71,121.81,86.9,115.62,82.26,54.55,49.0772,40.5,
10/6/2016,215.78,123.82,37.23,38.07,110.48,121.82,86.95,115.68,82.29,54.1495,49.54,40.25,
10/7/2016,215.04,122.83,36.99,37.94,110.64,122.11,87.15,115.65,82.15,53.8,49.26,39.95,
10/10/2016,216.16,124.3,37.14,38.2,110.35,122.11,87.4,115.49,82.66,54,49.56,40.22,
10/11/2016,213.43,122.03,36.6,37.49,110.32,121.73,86.91,115.4,81.86,53.3,49.005,39.67,
10/12/2016,213.71,121.93,36.55,37.45,110.32,121.89,86.88,115.36,82.8,53.25,49.115,39.8,
10/13/2016,213.01,120.92,36.45,37.22,110.55,122.19,86.66,115.54,83.45,52.65,48.6567,40.01,
10/14/2016,213.12,120.43,36.48,37.32,110.21,121.62,86.86,115.43,83.08,52.35,49,39.93,
10/17/2016,212.38,120.29,36.42,37.25,110.45,122.02,86.74,115.95,83.26,52.15,48.9,39.94,
10/18/2016,213.71,120.98,36.81,37.91,110.67,122.32,87.09,116.02,83.79,52.6,49.512,40.33,
10/19/2016,214.28,121.49,36.94,38.11,110.72,122.48,87.34,116.18,83.97,52.9,49.73,40.54,
10/20/2016,213.88,121.13,36.94,38.06,110.62,122.44,87.35,116,83.78,52.75,49.16,40.55,
10/21/2016,213.98,121.07,36.86,38.07,110.74,122.51,87.37,116.13,83.47,52.9,49.36,40.43,
10/24/2016,214.89,121.84,36.81,38.26,110.59,122.16,87.42,115.95,83.66,53.4,49.42,40.45,
10/25/2016,214.17,120.93,36.78,38.23,110.57,122.07,87.37,116.13,83.51,53.5,50.3642,40.45,
10/26/2016,213.74,119.73,36.6,37.95,110.33,121.56,87.02,116.01,82.42,53.25,50.28,40.33,
10/27/2016,213.17,118.36,36.56,37.66,109.95,121.01,86.7,115.51,80.26,53.1,50.2735,40.16,
10/28/2016,212.54,118.03,36.54,37.45,109.97,120.87,86.28,115.64,80.45,53.2,50.2,40.02,
10/31/2016,212.55,118.5,36.51,37.75,110.06,120.98,86.02,115.86,81.76,52.95,50.23,40.22,
11/1/2016,211.01,117.05,36.41,37.47,109.91,120.51,85.3,115.87,79.98,52.65,49.72,39.99,
11/2/2016,209.74,115.56,36.14,37.04,110.24,120.69,84.92,115.92,78.81,52.35,49.62,39.56,
11/3/2016,208.78,115,36.12,36.95,110.17,120.45,84.94,115.59,78.2,52.25,49.81,39.41,
11/4/2016,208.55,115.74,35.82,36.56,110.51,120.81,84.98,115.89,78.82,51.877,49.7911,39.2201,
11/7/2016,213.15,118.57,36.31,37.8,110.05,120.73,86.17,115.83,80.2,52.65,49.7639,39.94,
11/8/2016,214.11,118.88,36.4,37.98,109.66,120.46,85.98,115.63,80.62,52.85,49.97,40.14,
11/9/2016,216.3792,122.54,36.34,36.98,107.99,118.69,85.38,114.77,79.4,52.9,50.1956,39.51,
11/10/2016,216.92,124.5,36.22,35.91,107.34,118.59,84.26,114.57,78.07,53.3,50.25,38.42,
11/11/2016,216.42,127.36,35.93,35.25,107.12,118.08,83.47,114.25,78.54,53.25,50.35,37.9,
11/14/2016,216.59,129.15,35.77,35.08,106.5,117.47,84.09,113.37,80.4,53.05,50.927,37.54,
11/15/2016,218.28,129.55,35.99,35.74,106.5,117.83,85.2,113.44,79.73,53.55,51.26,38.18,
11/16/2016,217.87,129.54,35.66,35.45,106.6,118,84.86,113.68,79.5,53.35,50.8894,37.92,
11/17/2016,218.99,130.3,35.9,35.46,106.13,117.25,84.63,113.49,78.69,53.95,51.19,38.17,
11/18/2016,218.5,130.99,35.58,35.38,105.66,116.59,84.63,113.32,78.92,54.2,51.51,37.96,
11/21/2016,220.15,131.6,35.89,35.73,105.75,116.71,85.31,113.59,78.68,54.3,51.77,38.37,
11/22/2016,220.58,132.8,36,36.12,105.85,117.01,85.94,113.69,80.06,54.5,52.57,38.51,
11/23/2016,220.7,133.63,35.87,35.77,105.47,116.58,85.62,113.31,79.72,54.35,52.4,38.35,
11/25/2016,221.52,134.07,35.94,35.96,105.38,116.59,85.73,113.12,80.18,55.05,52.59,38.62,
11/28/2016,220.48,132.33,35.81,36.14,105.86,117.12,85.72,113.29,80.55,54.6,52.51,38.77,
11/29/2016,220.91,132.26,36.01,36.16,105.97,117.28,85.61,113.4,81.32,54.65,52.94,38.87,
11/30/2016,220.38,131.61,35.96,36.22,105.26,116.84,85.65,113.46,80.39,54.6,52.24,38.58,
12/1/2016,219.57,130.97,35.87,35.81,104.71,115.87,84.87,112.89,79.21,54.95,51.69,38.15,
12/2/2016,219.68,130.9,35.97,35.77,105.18,116.4,85.38,112.95,80,54.986,52.2634,38.38,
12/5/2016,221,133.15,36.25,36.01,105.14,116.65,85.6,113.11,80.59,55.575,53.14,38.57,
12/6/2016,221.7,134.59,36.5,36.16,105.18,116.64,86.03,113.33,81.11,55.8,53.2758,38.78,
12/7/2016,224.6,135.9,36.98,36.7,105.53,117.13,86.46,113.43,82.73,56.55,54.69,39.17,
